kind,experiment_key,model_key,condition,train_dataset,seed,rank,lora_alpha,benchmark,accuracy,n_eval,detail_path,metric_name,elapsed_hours,estimated_cu,adapter_dir,trainable_params,pct_trainable,base_accuracy,delta_vs_base,full_condition_accuracy,delta_vs_full,efficiency_ratio
train_eval,train__falcon_h1_0_5b_base__all_eligible__codealpaca__seed3407,falcon_h1_0_5b_base,all_eligible,codealpaca,3407,16.0,32.0,arc_challenge,0.725752508361204,299,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__codealpaca__seed3407__inline_eval__arc_challenge.jsonl,accuracy,2.3592352137962975,4.010699863453706,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__all_eligible__codealpaca__seed3407/final_adapter,11466496.0,2.1518067188412497,0.7424749163879598,-0.01672240802675584,0.725752508361204,0.0,-0.004169448873283625
train_eval,train__falcon_h1_0_5b_base__all_eligible__codealpaca__seed3407,falcon_h1_0_5b_base,all_eligible,codealpaca,3407,16.0,32.0,hellaswag,0.314453125,512,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__codealpaca__seed3407__inline_eval__hellaswag.jsonl,accuracy,2.3592352137962975,4.010699863453706,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__all_eligible__codealpaca__seed3407/final_adapter,11466496.0,2.1518067188412497,0.330078125,-0.015625,0.314453125,0.0,-0.0038958287909743898
train_eval,train__falcon_h1_0_5b_base__all_eligible__codealpaca__seed3407,falcon_h1_0_5b_base,all_eligible,codealpaca,3407,16.0,32.0,humaneval,,164,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__codealpaca__seed3407__inline_eval__humaneval.jsonl,pass@1_unavailable,2.3592352137962975,4.010699863453706,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__all_eligible__codealpaca__seed3407/final_adapter,11466496.0,2.1518067188412497,,,,,
train_eval,train__falcon_h1_0_5b_base__all_eligible__gsm8k_train__seed3407,falcon_h1_0_5b_base,all_eligible,gsm8k_train,3407,16.0,32.0,mmlu,0.515625,512,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__gsm8k_train__seed3407__inline_eval__mmlu.jsonl,accuracy,3.226442044708464,5.4849514760043885,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__all_eligible__gsm8k_train__seed3407/final_adapter,11466496.0,2.1518067188412497,0.517578125,-0.001953125,0.515625,0.0,-0.0003560879268567001
train_eval,train__falcon_h1_0_5b_base__all_eligible__gsm8k_train__seed3407,falcon_h1_0_5b_base,all_eligible,gsm8k_train,3407,16.0,32.0,gsm8k,0.50390625,256,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__gsm8k_train__seed3407__inline_eval__gsm8k.jsonl,accuracy,3.226442044708464,5.4849514760043885,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__all_eligible__gsm8k_train__seed3407/final_adapter,11466496.0,2.1518067188412497,0.3828125,0.12109375,0.50390625,0.0,0.022077451465115406
train_eval,train__falcon_h1_0_5b_base__all_eligible__gsm8k_train__seed3407,falcon_h1_0_5b_base,all_eligible,gsm8k_train,3407,16.0,32.0,arc_challenge,0.7123745819397993,299,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__gsm8k_train__seed3407__inline_eval__arc_challenge.jsonl,accuracy,3.226442044708464,5.4849514760043885,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__all_eligible__gsm8k_train__seed3407/final_adapter,11466496.0,2.1518067188412497,0.7424749163879598,-0.030100334448160515,0.7123745819397993,0.0,-0.005487803233965462
train_eval,train__falcon_h1_0_5b_base__all_eligible__gsm8k_train__seed3407,falcon_h1_0_5b_base,all_eligible,gsm8k_train,3407,16.0,32.0,hellaswag,0.302734375,512,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__gsm8k_train__seed3407__inline_eval__hellaswag.jsonl,accuracy,3.226442044708464,5.4849514760043885,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__all_eligible__gsm8k_train__seed3407/final_adapter,11466496.0,2.1518067188412497,0.330078125,-0.02734375,0.302734375,0.0,-0.004985230975993802
train_eval,train__falcon_h1_0_5b_base__all_eligible__ultrachat__seed3407,falcon_h1_0_5b_base,all_eligible,ultrachat,3407,16.0,32.0,mmlu,0.509765625,512,/workspace/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__ultrachat__seed3407__inline_eval__mmlu.jsonl,accuracy,2.6302742994493906,,/workspace/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__all_eligible__ultrachat__seed3407/final_adapter,11466496.0,2.1518067188412497,0.517578125,-0.0078125,0.509765625,0.0,
train_eval,train__falcon_h1_0_5b_base__all_eligible__ultrachat__seed3407,falcon_h1_0_5b_base,all_eligible,ultrachat,3407,16.0,32.0,gsm8k,0.4296875,256,/workspace/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__ultrachat__seed3407__inline_eval__gsm8k.jsonl,accuracy,2.6302742994493906,,/workspace/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__all_eligible__ultrachat__seed3407/final_adapter,11466496.0,2.1518067188412497,0.3828125,0.046875,0.4296875,0.0,
train_eval,train__falcon_h1_0_5b_base__all_eligible__ultrachat__seed3407,falcon_h1_0_5b_base,all_eligible,ultrachat,3407,16.0,32.0,arc_challenge,0.7290969899665551,299,/workspace/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__ultrachat__seed3407__inline_eval__arc_challenge.jsonl,accuracy,2.6302742994493906,,/workspace/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__all_eligible__ultrachat__seed3407/final_adapter,11466496.0,2.1518067188412497,0.7424749163879598,-0.013377926421404673,0.7290969899665551,0.0,
train_eval,train__falcon_h1_0_5b_base__all_eligible__ultrachat__seed3407,falcon_h1_0_5b_base,all_eligible,ultrachat,3407,16.0,32.0,hellaswag,0.287109375,512,/workspace/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__all_eligible__ultrachat__seed3407__inline_eval__hellaswag.jsonl,accuracy,2.6302742994493906,,/workspace/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__all_eligible__ultrachat__seed3407/final_adapter,11466496.0,2.1518067188412497,0.330078125,-0.04296875,0.287109375,0.0,
train_eval,train__falcon_h1_0_5b_base__attention_only__codealpaca__seed3407,falcon_h1_0_5b_base,attention_only,codealpaca,3407,16.0,32.0,mmlu,0.513671875,512,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_only__codealpaca__seed3407__inline_eval__mmlu.jsonl,accuracy,2.325406915744146,3.953191756765048,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_only__codealpaca__seed3407/final_adapter,2211840.0,0.4224108254507656,0.517578125,-0.00390625,0.515625,-0.001953125,-0.0009881256059272316
train_eval,train__falcon_h1_0_5b_base__attention_only__codealpaca__seed3407,falcon_h1_0_5b_base,attention_only,codealpaca,3407,16.0,32.0,gsm8k,0.390625,256,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_only__codealpaca__seed3407__inline_eval__gsm8k.jsonl,accuracy,2.325406915744146,3.953191756765048,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_only__codealpaca__seed3407/final_adapter,2211840.0,0.4224108254507656,0.3828125,0.0078125,0.359375,0.03125,0.0019762512118544633
train_eval,train__falcon_h1_0_5b_base__attention_only__codealpaca__seed3407,falcon_h1_0_5b_base,attention_only,codealpaca,3407,16.0,32.0,arc_challenge,0.7391304347826086,299,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_only__codealpaca__seed3407__inline_eval__arc_challenge.jsonl,accuracy,2.325406915744146,3.953191756765048,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_only__codealpaca__seed3407/final_adapter,2211840.0,0.4224108254507656,0.7424749163879598,-0.0033444816053511683,0.725752508361204,0.013377926421404673,-0.0008460205856768264
train_eval,train__falcon_h1_0_5b_base__attention_only__codealpaca__seed3407,falcon_h1_0_5b_base,attention_only,codealpaca,3407,16.0,32.0,hellaswag,0.3359375,512,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_only__codealpaca__seed3407__inline_eval__hellaswag.jsonl,accuracy,2.325406915744146,3.953191756765048,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_only__codealpaca__seed3407/final_adapter,2211840.0,0.4224108254507656,0.330078125,0.005859375,0.314453125,0.021484375,0.0014821884088908473
train_eval,train__falcon_h1_0_5b_base__attention_only__codealpaca__seed3407,falcon_h1_0_5b_base,attention_only,codealpaca,3407,16.0,32.0,humaneval,,164,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_only__codealpaca__seed3407__inline_eval__humaneval.jsonl,pass@1_unavailable,2.325406915744146,3.953191756765048,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_only__codealpaca__seed3407/final_adapter,2211840.0,0.4224108254507656,,,,,
train_eval,train__falcon_h1_0_5b_base__attention_only__gsm8k_train__seed3407,falcon_h1_0_5b_base,attention_only,gsm8k_train,3407,16.0,32.0,mmlu,0.501953125,512,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_only__gsm8k_train__seed3407__inline_eval__mmlu.jsonl,accuracy,1.3857651578717762,2.3558007683820197,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_only__gsm8k_train__seed3407/final_adapter,2211840.0,0.4224108254507656,0.517578125,-0.015625,0.515625,-0.013671875,-0.006632564268467982
train_eval,train__falcon_h1_0_5b_base__attention_only__gsm8k_train__seed3407,falcon_h1_0_5b_base,attention_only,gsm8k_train,3407,16.0,32.0,gsm8k,0.5546875,256,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_only__gsm8k_train__seed3407__inline_eval__gsm8k.jsonl,accuracy,1.3857651578717762,2.3558007683820197,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_only__gsm8k_train__seed3407/final_adapter,2211840.0,0.4224108254507656,0.3828125,0.171875,0.50390625,0.05078125,0.0729582069531478
train_eval,train__falcon_h1_0_5b_base__attention_only__gsm8k_train__seed3407,falcon_h1_0_5b_base,attention_only,gsm8k_train,3407,16.0,32.0,arc_challenge,0.7324414715719063,299,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_only__gsm8k_train__seed3407__inline_eval__arc_challenge.jsonl,accuracy,1.3857651578717762,2.3558007683820197,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_only__gsm8k_train__seed3407/final_adapter,2211840.0,0.4224108254507656,0.7424749163879598,-0.010033444816053505,0.7123745819397993,0.02006688963210701,-0.004259037924902514
train_eval,train__falcon_h1_0_5b_base__attention_only__gsm8k_train__seed3407,falcon_h1_0_5b_base,attention_only,gsm8k_train,3407,16.0,32.0,hellaswag,0.3203125,512,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_only__gsm8k_train__seed3407__inline_eval__hellaswag.jsonl,accuracy,1.3857651578717762,2.3558007683820197,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_only__gsm8k_train__seed3407/final_adapter,2211840.0,0.4224108254507656,0.330078125,-0.009765625,0.302734375,0.017578125,-0.0041453526677924886
train_eval,train__falcon_h1_0_5b_base__attention_only__ultrachat__seed3407,falcon_h1_0_5b_base,attention_only,ultrachat,3407,16.0,32.0,mmlu,0.5078125,512,/workspace/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_only__ultrachat__seed3407__inline_eval__mmlu.jsonl,accuracy,2.5904772057798175,,/workspace/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_only__ultrachat__seed3407/final_adapter,2211840.0,0.4224108254507656,0.517578125,-0.009765625,0.509765625,-0.001953125,
train_eval,train__falcon_h1_0_5b_base__attention_only__ultrachat__seed3407,falcon_h1_0_5b_base,attention_only,ultrachat,3407,16.0,32.0,gsm8k,0.484375,256,/workspace/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_only__ultrachat__seed3407__inline_eval__gsm8k.jsonl,accuracy,2.5904772057798175,,/workspace/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_only__ultrachat__seed3407/final_adapter,2211840.0,0.4224108254507656,0.3828125,0.1015625,0.4296875,0.0546875,
train_eval,train__falcon_h1_0_5b_base__attention_only__ultrachat__seed3407,falcon_h1_0_5b_base,attention_only,ultrachat,3407,16.0,32.0,arc_challenge,0.7357859531772575,299,/workspace/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_only__ultrachat__seed3407__inline_eval__arc_challenge.jsonl,accuracy,2.5904772057798175,,/workspace/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_only__ultrachat__seed3407/final_adapter,2211840.0,0.4224108254507656,0.7424749163879598,-0.006688963210702337,0.7290969899665551,0.006688963210702337,
train_eval,train__falcon_h1_0_5b_base__attention_only__ultrachat__seed3407,falcon_h1_0_5b_base,attention_only,ultrachat,3407,16.0,32.0,hellaswag,0.314453125,512,/workspace/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_only__ultrachat__seed3407__inline_eval__hellaswag.jsonl,accuracy,2.5904772057798175,,/workspace/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_only__ultrachat__seed3407/final_adapter,2211840.0,0.4224108254507656,0.330078125,-0.015625,0.287109375,0.02734375,
train_eval,train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407,falcon_h1_0_5b_base,attention_plus_mlp,codealpaca,3407,16.0,32.0,mmlu,0.505859375,512,/workspace/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407__inline_eval__mmlu.jsonl,accuracy,0.724098347293006,,/workspace/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407/final_adapter,7520256.0,1.421782970100317,0.517578125,-0.01171875,0.515625,-0.009765625,
train_eval,train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407,falcon_h1_0_5b_base,attention_plus_mlp,codealpaca,3407,16.0,32.0,gsm8k,0.36328125,256,/workspace/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407__inline_eval__gsm8k.jsonl,accuracy,0.724098347293006,,/workspace/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407/final_adapter,7520256.0,1.421782970100317,0.3828125,-0.01953125,0.359375,0.00390625,
train_eval,train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407,falcon_h1_0_5b_base,attention_plus_mlp,codealpaca,3407,16.0,32.0,arc_challenge,0.7290969899665551,299,/workspace/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407__inline_eval__arc_challenge.jsonl,accuracy,0.724098347293006,,/workspace/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407/final_adapter,7520256.0,1.421782970100317,0.7424749163879598,-0.013377926421404673,0.725752508361204,0.0033444816053511683,
train_eval,train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407,falcon_h1_0_5b_base,attention_plus_mlp,codealpaca,3407,16.0,32.0,hellaswag,0.318359375,512,/workspace/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407__inline_eval__hellaswag.jsonl,accuracy,0.724098347293006,,/workspace/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407/final_adapter,7520256.0,1.421782970100317,0.330078125,-0.01171875,0.314453125,0.00390625,
train_eval,train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407,falcon_h1_0_5b_base,attention_plus_mlp,codealpaca,3407,16.0,32.0,humaneval,0.0,164,/workspace/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407__inline_eval__humaneval.jsonl,pass@1,0.724098347293006,,/workspace/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407/final_adapter,7520256.0,1.421782970100317,,,,,
train_eval,train__falcon_h1_0_5b_base__attention_plus_mlp__gsm8k_train__seed3407,falcon_h1_0_5b_base,attention_plus_mlp,gsm8k_train,3407,16.0,32.0,mmlu,0.509765625,512,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__gsm8k_train__seed3407__inline_eval__mmlu.jsonl,accuracy,3.185223515563541,5.414879976458019,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_plus_mlp__gsm8k_train__seed3407/final_adapter,7520256.0,1.421782970100317,0.517578125,-0.0078125,0.515625,-0.005859375,-0.0014427835951980438
train_eval,train__falcon_h1_0_5b_base__attention_plus_mlp__gsm8k_train__seed3407,falcon_h1_0_5b_base,attention_plus_mlp,gsm8k_train,3407,16.0,32.0,gsm8k,0.4921875,256,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__gsm8k_train__seed3407__inline_eval__gsm8k.jsonl,accuracy,3.185223515563541,5.414879976458019,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_plus_mlp__gsm8k_train__seed3407/final_adapter,7520256.0,1.421782970100317,0.3828125,0.109375,0.50390625,-0.01171875,0.020198970332772615
train_eval,train__falcon_h1_0_5b_base__attention_plus_mlp__gsm8k_train__seed3407,falcon_h1_0_5b_base,attention_plus_mlp,gsm8k_train,3407,16.0,32.0,arc_challenge,0.7090301003344481,299,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__gsm8k_train__seed3407__inline_eval__arc_challenge.jsonl,accuracy,3.185223515563541,5.414879976458019,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_plus_mlp__gsm8k_train__seed3407/final_adapter,7520256.0,1.421782970100317,0.7424749163879598,-0.03344481605351168,0.7123745819397993,-0.0033444816053511683,-0.006176464889142123
train_eval,train__falcon_h1_0_5b_base__attention_plus_mlp__gsm8k_train__seed3407,falcon_h1_0_5b_base,attention_plus_mlp,gsm8k_train,3407,16.0,32.0,hellaswag,0.326171875,512,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__gsm8k_train__seed3407__inline_eval__hellaswag.jsonl,accuracy,3.185223515563541,5.414879976458019,/content/drive/MyDrive/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_plus_mlp__gsm8k_train__seed3407/final_adapter,7520256.0,1.421782970100317,0.330078125,-0.00390625,0.302734375,0.0234375,-0.0007213917975990219
train_eval,train__falcon_h1_0_5b_base__attention_plus_mlp__ultrachat__seed3407,falcon_h1_0_5b_base,attention_plus_mlp,ultrachat,3407,16.0,32.0,mmlu,0.5,512,/workspace/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__ultrachat__seed3407__inline_eval__mmlu.jsonl,accuracy,2.613706000049909,,/workspace/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_plus_mlp__ultrachat__seed3407/final_adapter,7520256.0,1.421782970100317,0.517578125,-0.017578125,0.509765625,-0.009765625,
train_eval,train__falcon_h1_0_5b_base__attention_plus_mlp__ultrachat__seed3407,falcon_h1_0_5b_base,attention_plus_mlp,ultrachat,3407,16.0,32.0,gsm8k,0.4921875,256,/workspace/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__ultrachat__seed3407__inline_eval__gsm8k.jsonl,accuracy,2.613706000049909,,/workspace/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_plus_mlp__ultrachat__seed3407/final_adapter,7520256.0,1.421782970100317,0.3828125,0.109375,0.4296875,0.0625,
train_eval,train__falcon_h1_0_5b_base__attention_plus_mlp__ultrachat__seed3407,falcon_h1_0_5b_base,attention_plus_mlp,ultrachat,3407,16.0,32.0,arc_challenge,0.7290969899665551,299,/workspace/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__ultrachat__seed3407__inline_eval__arc_challenge.jsonl,accuracy,2.613706000049909,,/workspace/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_plus_mlp__ultrachat__seed3407/final_adapter,7520256.0,1.421782970100317,0.7424749163879598,-0.013377926421404673,0.7290969899665551,0.0,
train_eval,train__falcon_h1_0_5b_base__attention_plus_mlp__ultrachat__seed3407,falcon_h1_0_5b_base,attention_plus_mlp,ultrachat,3407,16.0,32.0,hellaswag,0.291015625,512,/workspace/papers-tecnicos/3-LoRA-Placement/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__ultrachat__seed3407__inline_eval__hellaswag.jsonl,accuracy,2.613706000049909,,/workspace/papers-tecnicos/3-LoRA-Placement/models/train__falcon_h1_0_5b_base__attention_plus_mlp__ultrachat__seed3407/final_adapter,7520256.0,1.421782970100317,0.330078125,-0.0390625,0.287109375,0.00390625,
