kind,model_key,condition,train_dataset,seed,benchmark,path,n,correct,accuracy,wilson_low,wilson_high
train,falcon_h1_0_5b_base,attention_only,ultrachat,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_only__ultrachat__seed3407__inline_eval__arc_challenge.jsonl,299,220,0.7357859531772575,0.6830465272759841,0.7825436219363237
train,falcon_h1_0_5b_base,attention_only,ultrachat,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_only__ultrachat__seed3407__inline_eval__gsm8k.jsonl,256,124,0.484375,0.4238408093138977,0.5453711861994108
train,falcon_h1_0_5b_base,attention_only,ultrachat,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_only__ultrachat__seed3407__inline_eval__hellaswag.jsonl,512,161,0.314453125,0.2757440988618599,0.35592567728530355
train,falcon_h1_0_5b_base,attention_only,ultrachat,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_only__ultrachat__seed3407__inline_eval__mmlu.jsonl,512,260,0.5078125,0.46461161789502853,0.5508970231093013
train,falcon_h1_0_5b_base,attention_plus_mlp,codealpaca,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407__inline_eval__arc_challenge.jsonl,299,218,0.7290969899665551,0.6760525322981806,0.7763293857307995
train,falcon_h1_0_5b_base,attention_plus_mlp,codealpaca,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407__inline_eval__gsm8k.jsonl,256,93,0.36328125,0.3067900082905613,0.4238149524508879
train,falcon_h1_0_5b_base,attention_plus_mlp,codealpaca,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407__inline_eval__hellaswag.jsonl,512,163,0.318359375,0.2794892534474917,0.35993484320183683
train,falcon_h1_0_5b_base,attention_plus_mlp,codealpaca,3407,humaneval,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407__inline_eval__humaneval.jsonl,164,0,0.0,0.0,0.022887425119427582
train,falcon_h1_0_5b_base,attention_plus_mlp,codealpaca,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__codealpaca__seed3407__inline_eval__mmlu.jsonl,512,259,0.505859375,0.46267075036527133,0.5489607303879761
train,falcon_h1_0_5b_base,attention_plus_mlp,gsm8k_train,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__gsm8k_train__seed3407__inline_eval__arc_challenge.jsonl,299,212,0.7090301003344481,0.6551539177245007,0.7576033067544956
train,falcon_h1_0_5b_base,attention_plus_mlp,gsm8k_train,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__gsm8k_train__seed3407__inline_eval__gsm8k.jsonl,256,126,0.4921875,0.43151586938966136,0.5530901283669929
train,falcon_h1_0_5b_base,attention_plus_mlp,gsm8k_train,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__gsm8k_train__seed3407__inline_eval__hellaswag.jsonl,512,167,0.326171875,0.2869892121795722,0.36794352547408626
train,falcon_h1_0_5b_base,attention_plus_mlp,gsm8k_train,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__gsm8k_train__seed3407__inline_eval__mmlu.jsonl,512,261,0.509765625,0.46655313914706253,0.5528326621083499
train,falcon_h1_0_5b_base,attention_plus_mlp,ultrachat,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__ultrachat__seed3407__inline_eval__arc_challenge.jsonl,299,218,0.7290969899665551,0.6760525322981806,0.7763293857307995
train,falcon_h1_0_5b_base,attention_plus_mlp,ultrachat,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__ultrachat__seed3407__inline_eval__gsm8k.jsonl,256,126,0.4921875,0.43151586938966136,0.5530901283669929
train,falcon_h1_0_5b_base,attention_plus_mlp,ultrachat,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__ultrachat__seed3407__inline_eval__hellaswag.jsonl,512,149,0.291015625,0.25334281371732637,0.33180103941684724
train,falcon_h1_0_5b_base,attention_plus_mlp,ultrachat,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__attention_plus_mlp__ultrachat__seed3407__inline_eval__mmlu.jsonl,512,256,0.5,0.45685206921855137,0.5431479307814486
train,falcon_h1_0_5b_base,mlp_only,codealpaca,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__codealpaca__seed3407__inline_eval__arc_challenge.jsonl,299,219,0.7324414715719063,0.6795477469302283,0.7794382866904156
train,falcon_h1_0_5b_base,mlp_only,codealpaca,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__codealpaca__seed3407__inline_eval__gsm8k.jsonl,256,82,0.3203125,0.26617385334096993,0.3797640950620776
train,falcon_h1_0_5b_base,mlp_only,codealpaca,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__codealpaca__seed3407__inline_eval__hellaswag.jsonl,512,160,0.3125,0.27387274156086244,0.3539198743352186
train,falcon_h1_0_5b_base,mlp_only,codealpaca,3407,humaneval,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__codealpaca__seed3407__inline_eval__humaneval.jsonl,164,0,0.0,0.0,0.022887425119427582
train,falcon_h1_0_5b_base,mlp_only,codealpaca,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__codealpaca__seed3407__inline_eval__mmlu.jsonl,512,262,0.51171875,0.4684953142550904,0.5547676472514046
train,falcon_h1_0_5b_base,mlp_only,gsm8k_train,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__gsm8k_train__seed3407__inline_eval__arc_challenge.jsonl,299,212,0.7090301003344481,0.6551539177245007,0.7576033067544956
train,falcon_h1_0_5b_base,mlp_only,gsm8k_train,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__gsm8k_train__seed3407__inline_eval__gsm8k.jsonl,256,130,0.5078125,0.44690987163300716,0.5684841306103388
train,falcon_h1_0_5b_base,mlp_only,gsm8k_train,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__gsm8k_train__seed3407__inline_eval__hellaswag.jsonl,512,167,0.326171875,0.2869892121795722,0.36794352547408626
train,falcon_h1_0_5b_base,mlp_only,gsm8k_train,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__gsm8k_train__seed3407__inline_eval__mmlu.jsonl,512,259,0.505859375,0.46267075036527133,0.5489607303879761
train,falcon_h1_0_5b_base,mlp_only,ultrachat,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__ultrachat__seed3407__inline_eval__arc_challenge.jsonl,299,217,0.725752508361204,0.6725608423246756,0.7732169601126404
train,falcon_h1_0_5b_base,mlp_only,ultrachat,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__ultrachat__seed3407__inline_eval__gsm8k.jsonl,256,120,0.46875,0.4085346505933857,0.5298893404332313
train,falcon_h1_0_5b_base,mlp_only,ultrachat,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__ultrachat__seed3407__inline_eval__hellaswag.jsonl,512,150,0.29296875,0.2552049202048361,0.33381609318042005
train,falcon_h1_0_5b_base,mlp_only,ultrachat,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__mlp_only__ultrachat__seed3407__inline_eval__mmlu.jsonl,512,260,0.5078125,0.46461161789502853,0.5508970231093013
train,falcon_h1_0_5b_base,ssm_only,codealpaca,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__codealpaca__seed3407__inline_eval__arc_challenge.jsonl,299,218,0.7290969899665551,0.6760525322981806,0.7763293857307995
train,falcon_h1_0_5b_base,ssm_only,codealpaca,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__codealpaca__seed3407__inline_eval__gsm8k.jsonl,256,82,0.3203125,0.26617385334096993,0.3797640950620776
train,falcon_h1_0_5b_base,ssm_only,codealpaca,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__codealpaca__seed3407__inline_eval__hellaswag.jsonl,512,167,0.326171875,0.2869892121795722,0.36794352547408626
train,falcon_h1_0_5b_base,ssm_only,codealpaca,3407,humaneval,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__codealpaca__seed3407__inline_eval__humaneval.jsonl,164,0,0.0,0.0,0.022887425119427582
train,falcon_h1_0_5b_base,ssm_only,codealpaca,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__codealpaca__seed3407__inline_eval__mmlu.jsonl,512,265,0.517578125,0.4743257644991892,0.5605686777605532
train,falcon_h1_0_5b_base,ssm_only,gsm8k_train,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__gsm8k_train__seed3407__inline_eval__arc_challenge.jsonl,299,218,0.7290969899665551,0.6760525322981806,0.7763293857307995
train,falcon_h1_0_5b_base,ssm_only,gsm8k_train,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__gsm8k_train__seed3407__inline_eval__gsm8k.jsonl,256,120,0.46875,0.4085346505933857,0.5298893404332313
train,falcon_h1_0_5b_base,ssm_only,gsm8k_train,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__gsm8k_train__seed3407__inline_eval__hellaswag.jsonl,512,156,0.3046875,0.26639554250826725,0.3458884323834839
train,falcon_h1_0_5b_base,ssm_only,gsm8k_train,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__gsm8k_train__seed3407__inline_eval__mmlu.jsonl,512,268,0.5234375,0.48016210712441953,0.5663638158885704
train,falcon_h1_0_5b_base,ssm_only,ultrachat,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__ultrachat__seed3407__inline_eval__arc_challenge.jsonl,299,221,0.7391304347826086,0.6865489158065625,0.7856453489974093
train,falcon_h1_0_5b_base,ssm_only,ultrachat,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__ultrachat__seed3407__inline_eval__gsm8k.jsonl,256,125,0.48828125,0.4276765099686914,0.5492324866662899
train,falcon_h1_0_5b_base,ssm_only,ultrachat,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__ultrachat__seed3407__inline_eval__hellaswag.jsonl,512,157,0.306640625,0.26826359920760706,0.3478975359352265
train,falcon_h1_0_5b_base,ssm_only,ultrachat,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_only__ultrachat__seed3407__inline_eval__mmlu.jsonl,512,265,0.517578125,0.4743257644991892,0.5605686777605532
train,falcon_h1_0_5b_base,ssm_plus_mlp,codealpaca,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_plus_mlp__codealpaca__seed3407__inline_eval__arc_challenge.jsonl,299,217,0.725752508361204,0.6725608423246756,0.7732169601126404
train,falcon_h1_0_5b_base,ssm_plus_mlp,codealpaca,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_plus_mlp__codealpaca__seed3407__inline_eval__gsm8k.jsonl,256,90,0.3515625,0.295661910800322,0.41185204657610863
train,falcon_h1_0_5b_base,ssm_plus_mlp,codealpaca,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_plus_mlp__codealpaca__seed3407__inline_eval__hellaswag.jsonl,512,162,0.31640625,0.27761627083576784,0.35793066556247816
train,falcon_h1_0_5b_base,ssm_plus_mlp,codealpaca,3407,humaneval,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_plus_mlp__codealpaca__seed3407__inline_eval__humaneval.jsonl,164,0,0.0,0.0,0.022887425119427582
train,falcon_h1_0_5b_base,ssm_plus_mlp,codealpaca,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_plus_mlp__codealpaca__seed3407__inline_eval__mmlu.jsonl,512,266,0.51953125,0.47627055696449766,0.5625010455463273
train,falcon_h1_0_5b_base,ssm_plus_mlp,gsm8k_train,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_plus_mlp__gsm8k_train__seed3407__inline_eval__arc_challenge.jsonl,299,213,0.7123745819397993,0.658628554423782,0.7607327856468784
train,falcon_h1_0_5b_base,ssm_plus_mlp,gsm8k_train,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_plus_mlp__gsm8k_train__seed3407__inline_eval__gsm8k.jsonl,256,130,0.5078125,0.44690987163300716,0.5684841306103388
train,falcon_h1_0_5b_base,ssm_plus_mlp,gsm8k_train,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_plus_mlp__gsm8k_train__seed3407__inline_eval__hellaswag.jsonl,512,157,0.306640625,0.26826359920760706,0.3478975359352265
train,falcon_h1_0_5b_base,ssm_plus_mlp,gsm8k_train,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_plus_mlp__gsm8k_train__seed3407__inline_eval__mmlu.jsonl,512,264,0.515625,0.4723816267229168,0.5586356552857431
train,falcon_h1_0_5b_base,ssm_plus_mlp,ultrachat,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_plus_mlp__ultrachat__seed3407__inline_eval__arc_challenge.jsonl,299,221,0.7391304347826086,0.6865489158065625,0.7856453489974093
train,falcon_h1_0_5b_base,ssm_plus_mlp,ultrachat,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_plus_mlp__ultrachat__seed3407__inline_eval__gsm8k.jsonl,256,121,0.47265625,0.4123556863984164,0.5337653057498734
train,falcon_h1_0_5b_base,ssm_plus_mlp,ultrachat,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_plus_mlp__ultrachat__seed3407__inline_eval__hellaswag.jsonl,512,154,0.30078125,0.2626619417224134,0.34186771266717264
train,falcon_h1_0_5b_base,ssm_plus_mlp,ultrachat,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__falcon_h1_0_5b_base__ssm_plus_mlp__ultrachat__seed3407__inline_eval__mmlu.jsonl,512,260,0.5078125,0.46461161789502853,0.5508970231093013
train,qwen3_5_0_8b_base,all_layers,codealpaca,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__qwen3_5_0_8b_base__all_layers__codealpaca__seed3407__inline_eval__arc_challenge.jsonl,299,216,0.7224080267558528,0.6690726373146063,0.7701010495310459
train,qwen3_5_0_8b_base,all_layers,codealpaca,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__qwen3_5_0_8b_base__all_layers__codealpaca__seed3407__inline_eval__gsm8k.jsonl,256,20,0.078125,0.05114064056843023,0.11758323829089878
train,qwen3_5_0_8b_base,all_layers,codealpaca,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__qwen3_5_0_8b_base__all_layers__codealpaca__seed3407__inline_eval__hellaswag.jsonl,512,222,0.43359375,0.39131972552170646,0.4768568259414889
train,qwen3_5_0_8b_base,all_layers,codealpaca,3407,humaneval,/mnt/data/figures_results_tables/results/eval_details/train__qwen3_5_0_8b_base__all_layers__codealpaca__seed3407__inline_eval__humaneval.jsonl,164,0,0.0,0.0,0.022887425119427582
train,qwen3_5_0_8b_base,all_layers,codealpaca,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__qwen3_5_0_8b_base__all_layers__codealpaca__seed3407__inline_eval__mmlu.jsonl,512,249,0.486328125,0.4432980216250284,0.5295618566173942
train,qwen3_5_0_8b_base,all_layers,gsm8k_train,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__qwen3_5_0_8b_base__all_layers__gsm8k_train__seed3407__inline_eval__arc_challenge.jsonl,299,223,0.745819397993311,0.6935646947444548,0.7918378012428448
train,qwen3_5_0_8b_base,all_layers,gsm8k_train,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__qwen3_5_0_8b_base__all_layers__gsm8k_train__seed3407__inline_eval__gsm8k.jsonl,128,48,0.375,0.29592429097646555,0.4613599480919116
train,qwen3_5_0_8b_base,all_layers,gsm8k_train,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__qwen3_5_0_8b_base__all_layers__gsm8k_train__seed3407__inline_eval__hellaswag.jsonl,512,222,0.43359375,0.39131972552170646,0.4768568259414889
train,qwen3_5_0_8b_base,all_layers,gsm8k_train,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__qwen3_5_0_8b_base__all_layers__gsm8k_train__seed3407__inline_eval__mmlu.jsonl,512,242,0.47265625,0.4297760363126683,0.5159437201721769
train,qwen3_5_0_8b_base,all_layers,ultrachat,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__qwen3_5_0_8b_base__all_layers__ultrachat__seed3407__inline_eval__arc_challenge.jsonl,299,219,0.7324414715719063,0.6795477469302283,0.7794382866904156
train,qwen3_5_0_8b_base,all_layers,ultrachat,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__qwen3_5_0_8b_base__all_layers__ultrachat__seed3407__inline_eval__gsm8k.jsonl,256,36,0.140625,0.10333688392273097,0.18853901288336414
train,qwen3_5_0_8b_base,all_layers,ultrachat,3407,hellaswag,/mnt/data/figures_results_tables/results/eval_details/train__qwen3_5_0_8b_base__all_layers__ultrachat__seed3407__inline_eval__hellaswag.jsonl,512,191,0.373046875,0.33224766198783645,0.4157369216918017
train,qwen3_5_0_8b_base,all_layers,ultrachat,3407,mmlu,/mnt/data/figures_results_tables/results/eval_details/train__qwen3_5_0_8b_base__all_layers__ultrachat__seed3407__inline_eval__mmlu.jsonl,512,249,0.486328125,0.4432980216250284,0.5295618566173942
train,qwen3_5_0_8b_base,gdn_only,codealpaca,3407,arc_challenge,/mnt/data/figures_results_tables/results/eval_details/train__qwen3_5_0_8b_base__gdn_only__codealpaca__seed3407__inline_eval__arc_challenge.jsonl,299,220,0.7357859531772575,0.6830465272759841,0.7825436219363237
train,qwen3_5_0_8b_base,gdn_only,codealpaca,3407,gsm8k,/mnt/data/figures_results_tables/results/eval_details/train__qwen3_5_0_8b_base__gdn_only__codealpaca__seed3407__inline_eval__gsm8k.jsonl,256,26,0.1015625,0.07025498422463894,0.14465090136472736
